tweet,cleaning,preprocessing,Nama Universitas,longitude,latitude,label
Memang sudah seharusnya penerima kipk punya ipk yg bagus &amp; aktif kegiatan kampus sebagai feedback yg jadi masalah itu gak tepat sasaran nder &amp; wajar orang2 marah tujuan kipk mencerdaskan kehidupan anak2 miskin memastikan pendidikan mengubah kehidupan mereka menjadi lebih baik,memang sudah seharusnya penerima kipk punya ipk yg bagus amp aktif kegiatan kampus sebagai feedback yg jadi masalah itu gak tepat sasaran nder amp wajar orang2 marah tujuan kipk mencerdaskan kehidupan anak2 miskin memastikan pendidikan mengubah kehidupan mereka menjadi lebih baik,terima kipk indeks prestasi kumulatif bagus aktif giat kampus feedback sasar nder wajar orang orang marah tuju kipk cerdas hidup anak anak miskin didik ubah hidup,Universitas Brawijaya,112.613881409846,-7.95201789999999,Negative
Lagi rame ya sekarang spal spil penerima KIPK yang ternyata hidupnya berkecukupan jauh lebih dari cukup malah,lagi rame ya sekarang spal spil penerima kipk yang ternyata hidupnya berkecukupan jauh lebih dari cukup malah,ramai ya spal spil terima kipk hidup cukup,,,,Positive
Sebagai alumni penerima kipk(dulu bidikmisi) mau tanya deh kok kalian gaada rasa bersalahnya ya klo pake uang itu buat hedon? Ya allah kasian yg beneran butuh uangnya.. Soalnya kerasa klo pas gapunya uang tp butuh buat kuliah,sebagai alumni penerima kipk dulu bidikmisi mau tanya deh kok kalian gaada rasa bersalahnya ya klo pake uang itu buat hedon ya allah kasian yg beneran butuh uangnya soalnya kerasa klo pas gapunya uang tp butuh buat kuliah,alumni terima kipk bidikmisi deh ada salah ya pakai uang boros ya allah kasihan benar butuh uang rasa pas uang butuh kuliah,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
@rizkidwika 5. Penerima KIPK tapi hape boba, rizkidwika 5 penerima kipk tapi hape boba,rizkidwika 5 terima kipk telepon genggam boba,,,,Negative
eh lu pada yg bagi freebies tolongg TnCnya tambahin jadi: 'tidak memberi freebies untuk penerima KIPK' thx,eh lu pada yg bagi freebies tolongg tncnya tambahin jadi tidak memberi freebies untuk penerima kipk thx,eh freebies tolongg tncnya tambah freebies terima kipk terima kasih,,,,Positive
@tanyakanrl ini pemerintah lihat penerima kipk nya dr apa sih anjg prasaan salah mulu, tanyakanrl ini pemerintah lihat penerima kipk nya dr apa sih anjg prasaan salah mulu,tanyakanrl perintah lihat terima kipk nya sih anjing asa salah,,,,Positive
makin gila ya orang orang penerima kipk ini,makin gila ya orang orang penerima kipk ini,gila ya orang orang terima kipk,,,,Positive
lagi rame soal penerima kipk tapi hedonnya subhanallah. aku juga punya temen begitu penerima kipk tapi gayanya selangit ,lagi rame soal penerima kipk tapi hedonnya subhanallah aku juga punya temen begitu penerima kipk tapi gayanya selangit ,ramai terima kipk hedonnya subhanallah teman terima kipk gaya langit,Universitas Brawijaya,112.613881409846,-7.95201789999999,Negative
@undipmenfess Sumpah ada apa dengan kipk dulu aku penerima kipk emang kalo ngampus pakek ontel hp asus kentang makan sehari harus 10 ribu menangis liat mbaknya udah kaya masih ambil hak kipk yg lain, undipmenfess sumpah ada apa dengan kipk dulu aku penerima kipk emang kalo ngampus pakek ontel hp asus kentang makan sehari harus 10 ribu menangis liat mbaknya udah kaya masih ambil hak kipk yg lain,undipmenfess sumpah ada kipk terima kipk ngampus pakai ontel handphone asus kentang makan hari 10 ribu menang lihat mbak ambil hak kipk,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@undipmenfess JANGAN JANGAN LO PENERIMA KIPK TAPI HEDON JUGA YAAAAA, undipmenfess jangan jangan lo penerima kipk tapi hedon juga yaaaaa,undipmenfess terima kipk boros yaaaaa,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Yang kaya tapi ngaku miskin demi dapetin KIPK atau bansos lainnya hati-hati nanti jadi miskin beneran. Atau mau diamini aja biar sekalian miskin biar selalu ada di list penerima beras miskin?,yang kaya tapi ngaku miskin demi dapetin kipk atau bansos lainnya hati hati nanti jadi miskin beneran atau mau diamini aja biar sekalian miskin biar selalu ada di list penerima beras miskin ,aku miskin kipk bansos hati hati miskin benar amin biar miskin biar ada list terima beras miskin,,,,Negative
@undipmenfess Jujur ya adikku penerima kipk tp ga ada tuh evaluasi ekonomi kalo nilai memang ada., undipmenfess jujur ya adikku penerima kipk tp ga ada tuh evaluasi ekonomi kalo nilai memang ada ,undipmenfess jujur ya adik terima kipk ada evaluasi ekonomi nilai ada,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@undipmenfess bener ternyata penerima KIPK cantik cantik kekmana seleksinya apakah panitia seleksinya bapak bapak?, undipmenfess bener ternyata penerima kipk cantik cantik kekmana seleksinya apakah panitia seleksinya bapak bapak ,undipmenfess terima kipk cantik cantik kekmana seleksi panitia seleksi,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
@momorchi @UNY_Base Ini tuh kaya base sebelah gitu deh. Share data penerima KIPK terus biar netizen sendiri yang ngecek wkwk. Cuman gak tau daritadi aku perhatiin base ini banyakan tes ombak doang kocak., momorchi uny base ini tuh kaya base sebelah gitu deh share data penerima kipk terus biar netizen sendiri yang ngecek wkwk cuman gak tau daritadi aku perhatiin base ini banyakan tes ombak doang kocak ,momorchi uny base base belah deh bagi data terima kipk biar warganet ecek wkwk perhati base banyak tes ombak kocak,Universitas Negeri Yogyakarta,110.383763340711,-7.77301315,Negative
Tl isinya penerima kipk tapi mampu lu semua bikin gw emosi alias rasain hisabnya dah,tl isinya penerima kipk tapi mampu lu semua bikin gw emosi alias rasain hisabnya dah,lini isi terima kipk bikin emosi alias rasa hisab,,,,Negative
Undip lagi ngobrak ngabrik penerima kipk,undip lagi ngobrak ngabrik penerima kipk,undip ngobrak ngabrik terima kipk,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
Ini gk ada yang mau buat list penerima kipk bermasalah kah di undeep...,ini gk ada yang mau buat list penerima kipk bermasalah kah di undeep ,ada list terima kipk masalah kah undeep,,,,Negative
@yumiyoum waduhhhhhhhh penerima kipk bayar konser 7jt budak corporate kek aku ga relate, yumiyoum waduhhhhhhhh penerima kipk bayar konser 7jt budak corporate kek aku ga relate,yumiyoum waduhhhhhhhh terima kipk bayar konser 7jt budak corporate relate,,,,Negative
Asik banget liat timeline isinya spill spill an penerima kipk tapi hidupnya kaya raya.,asik banget liat timeline isinya spill spill an penerima kipk tapi hidupnya kaya raya ,asyik lihat lini isi spill spill an terima kipk hidup raya,,,,Positive
@ajeonghaseyo Emang yang kyak gini tuh perlu di perhatikan betul betul. Tapi biasanya penerima kipk kek ginii mesti cek lokasi ke rumah dehh. Apa aku salah kali yaa setauku begitu soalnyaaa, ajeonghaseyo emang yang kyak gini tuh perlu di perhatikan betul betul tapi biasanya penerima kipk kek ginii mesti cek lokasi ke rumah dehh apa aku salah kali yaa setauku begitu soalnyaaa,ajeonghaseyo perhati terima kipk mesti cek lokasi rumah deh salah kali ya tahu soalnyaaa,,,,Positive
@kejatiasih kalo misal dia penerima kipk udah bisa membayar kuliah dan duit sisaannya sudah tertabung kenapa malah beli ip? bukan untuk membayar ukt kuliah kan sudah terpenuhi nih untuk mebayar ukt tersebut bukankah membeli barang dgn duit sisihan dari kipk adalah penyalahgunaan dana bntuan, kejatiasih kalo misal dia penerima kipk udah bisa membayar kuliah dan duit sisaannya sudah te abung kenapa malah beli ip bukan untuk membayar ukt kuliah kan sudah terpenuhi nih untuk mebayar ukt tersebut bukankah membeli barang dgn duit sisihan dari kipk adalah penyalahgunaan dana bntuan,kejatiasih terima kipk bayar kuliah duit sisa te abung beli ip bayar ukt kuliah penuh nih mebayar ukt beli barang duit sisih kipk penyalahgunaan dana bntuan,Universitas Indonesia,106.827185590632,-6.36031565,Negative
yg penerima kipk ini bisa ga selain mengundurkan diri kita ngelaporin ke pihak kampus biar dicabut?,yg penerima kipk ini bisa ga selain mengundurkan diri kita ngelaporin ke pihak kampus biar dicabut ,terima kipk undur lapor kampus biar cabut,,,,Positive
BECANDA WKWKWKWK GUE BUKAN PENERIMA KIPK ,becanda wkwkwkwk gue bukan penerima kipk ,canda wkwk terima kipk,,,,Positive
Kok bisa gt anak penerima kipk hedon bgt mana nonton konser mulu lah gw yg udah kerja aja masih mikir dua kali buat ngonser,kok bisa gt anak penerima kipk hedon bgt mana nonton konser mulu lah gw yg udah kerja aja masih mikir dua kali buat ngonser,anak terima kipk boros tonton konser kerja pikir kali ngonser,,,,Negative
@undipmenfess template penerima kipk ala2 seleb semua yaa, undipmenfess template penerima kipk ala2 seleb semua yaa,undipmenfess template terima kipk ala ala selebriti ya,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@kejatiasih kalo menurut gua ya mundur kalo ternyata nanti memang memburuk ajukan lagi ya tapi si penerima juga harus bisa mikir apakah kondisi finansialnya akan stabil atau tidak sekarang gini te kita sebagai penerima kipk bukannya harusnya mencoba untuk menstabilkan kondisi finansial-, kejatiasih kalo menurut gua ya mundur kalo ternyata nanti memang memburuk ajukan lagi ya tapi si penerima juga harus bisa mikir apakah kondisi finansialnya akan stabil atau tidak sekarang gini te kita sebagai penerima kipk bukannya harusnya mencoba untuk menstabilkan kondisi finansial ,kejatiasih ya mundur buruk aju ya sih terima pikir kondisi finansial stabil te terima kipk coba stabil kondisi finansial,,,,Negative
@bigwiniw @convomf Kalo kata temenku adeknya kipk juga angkatan 23 kak... (dia memang membutuhkan) kalo di angkatan 23 kata dia udah ada penerima kip tahap 1 dan tahap 2. Itu beda nominal yang diterima. Kalo sampe memang masih belum bisa tersaring agar tepat sasaran aku jg nggak tau., bigwiniw convomf kalo kata temenku adeknya kipk juga angkatan 23 kak dia memang membutuhkan kalo di angkatan 23 kata dia udah ada penerima kip tahap 1 dan tahap 2 itu beda nominal yang diterima kalo sampe memang masih belum bisa tersaring agar tepat sasaran aku jg nggak tau ,bigwiniw convomf teman adeknya kipk angkat 23 kak butuh angkat 23 ada terima kip tahap 1 tahap 2 beda nominal terima saring sasar,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
mba nya mikir ga sih? Kalo memang penerima kipk YANG BENER YA ga kepikiran nonton konser anjrit ngeluarin 300k mening buat makan alhamdulillah kl mba nya mikir 300k tu dibilang murah moga rejeki lu lancar mba biar konser idol lu 10jt bisa kebeli alias kampret pen gue tabok,mba nya mikir ga sih kalo memang penerima kipk yang bener ya ga kepikiran nonton konser anjrit ngeluarin 300k mening buat makan alhamdulillah kl mba nya mikir 300k tu dibilang murah moga rejeki lu lancar mba biar konser idol lu 10jt bisa kebeli alias kampret pen gue tabok,mbak nya pikir sih terima kipk ya pikir tonton konser anjrit keluar 300k ning makan alhamdulillah mbak nya pikir 300k bilang murah moga rejeki lancar mbak biar konser idol puluh juta kebel alias kampret tabok,,,,Negative
rill sbnrnya kasian buat yg bener2 penerima KIPK. krn kebawa jadi jelek krn oknum2 itu ntah mereka memang malsuin berkas ato nyogok ato pemerintah yg ga crosscheck dari awal pengajuan dgn betul? idk. pokoknya program ini harus diperbaiki,rill sbnrnya kasian buat yg bener2 penerima kipk krn kebawa jadi jelek krn oknum2 itu ntah mereka memang malsuin berkas ato nyogok ato pemerintah yg ga crosscheck dari awal pengajuan dgn betul idk pokoknya program ini harus diperbaiki,rill kasihan terima kipk bawa jelek oknum oknum malsuin berkas sogok perintah crosscheck aju pokok program baik,Universitas Indonesia,106.827185590632,-6.36031565,Negative
buset byk bgt kespill penerima yg ga berhak dapet kipk dari kmren,buset byk bgt kespill penerima yg ga berhak dapet kipk dari kmren,buset kespill terima hak kipk kemarin,,,,Negative
@kegblgnunfaedh Ini cewek penerima kipk yang pernah ngetweet pengen di ewe bukan ya? Kalau iya sungguh lucunya dia di instagram dan di twitter di instagram lugu dan berwibawa tapi di twitter malah cosplay jadi cewek nackal , kegblgnunfaedh ini cewek penerima kipk yang pernah ngetweet pengen di ewe bukan ya kalau iya sungguh lucunya dia di instagram dan di twitter di instagram lugu dan berwibawa tapi di twitter malah cosplay jadi cewek nackal ,kegblgnunfaedh cewek terima kipk mentwit ngewe ya iya sungguh lucu instagram twitter instagram lugu wibawa twitter cosplay cewek nackal,Universitas Negeri Gorontalo,123.062666148111,0.5546668,Negative
@kkukisnkrim @undipmenfess Oalah kalau boleh tau di wawancara itu ngeceknya sejauh apa ya Kak? Soalnya denger2 tiap semester ada penyesuaian tapi nyatanya ada yang dalam 1 tahun hedon tp gak ketauan dan tetep jd penerima kipk. Bahkan dari yang udah2 mereka hedon secara terang2an, kkukisnkrim undipmenfess oalah kalau boleh tau di wawancara itu ngeceknya sejauh apa ya kak soalnya denger2 tiap semester ada penyesuaian tapi nyatanya ada yang dalam 1 tahun hedon tp gak ketauan dan tetep jd penerima kipk bahkan dari yang udah2 mereka hedon secara terang2an,kkukisnkrim undipmenfess walah wawancara ngeceknya ya kak dengar dengar semester ada sesuai ada 1 boros tahu terima kipk boros terang terang,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Undip banyak banget penerima kipk tapi hidupnya hedon,undip banyak banget penerima kipk tapi hidupnya hedon,undip terima kipk hidup boros,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@undipmenfess Penerima kipk di kampusku banyak yg ipknya rendah kok , undipmenfess penerima kipk di kampusku banyak yg ipknya rendah kok ,undipmenfess terima kipk kampus ipknya rendah,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
penerima kipk ini banyak yg aslinya punya duit padahal bantuan itu buat rakyat gak mampu biar bisa tetap mengenyam pendidikan. nanti pada dikasih jadi miskin beneran baru tau rasa ‍↔️,penerima kipk ini banyak yg aslinya punya duit padahal bantuan itu buat rakyat gak mampu biar bisa tetap mengenyam pendidikan nanti pada dikasih jadi miskin beneran baru tau rasa ,terima kipk asli duit bantu rakyat biar kenyam didik kasih miskin benar,Universitas Indonesia,106.827185590632,-6.36031565,Negative
@kejatiasih nh sistem penerimaan kipk tuh gimana sih? karena gua penerima kip tuh sistem pengajuannya ya terlalu mudah bahkan temen gua yang bisa dibilang keatas pun dapet kalo sistemnya sama ya menurut gua kurang fair memang tapi klo dipersulit juga hdi gmn gmn nnti seharusnya gimana, kejatiasih nh sistem penerimaan kipk tuh gimana sih karena gua penerima kip tuh sistem pengajuannya ya terlalu mudah bahkan temen gua yang bisa dibilang keatas pun dapet kalo sistemnya sama ya menurut gua kurang fair memang tapi klo dipersulit juga hdi gmn gmn nnti seharusnya gimana,kejatiasih nih sistem terima kipk sih terima kip sistem aju ya mudah teman bilang sistem ya fair sulit had,,,,Positive
Kira2 ada brp ratus/ribu orng penerima kipk yg begini yaaa,kira2 ada brp ratus ribu orng penerima kipk yg begini yaaa,ada ratus ribu orang terima kipk ya,,,,Negative
sakit hati sama penerima kipk yg ternyata orang mampu bahkan kaya mengsedih banget cuyy mengingat aku sendiri jungkir balik biayain adik aku kuliah setahun belakangan ini wkkwk doain adik aku keterima kedinasan ya guys biar aku bisa sedikit berhemat menabung buat nikahanku,sakit hati sama penerima kipk yg ternyata orang mampu bahkan kaya mengsedih banget cuyy mengingat aku sendiri jungkir balik biayain adik aku kuliah setahun belakangan ini wkkwk doain adik aku keterima kedinasan ya guys biar aku bisa sedikit berhemat menabung buat nikahanku,sakit hati terima kipk orang mengsedih coy jungkir biayain adik kuliah tahun wkkwk doa adik terima dinas ya guys biar hemat tabung nikah,Universitas Negeri Gorontalo,123.062666148111,0.5546668,Positive
1 hari 1 oknum edan ya wkwk para penerima kipk ini ternyata feedsnya sangat keceh nan hedon y,1 hari 1 oknum edan ya wkwk para penerima kipk ini ternyata feedsnya sangat keceh nan hedon y,1 1 oknum edan ya wkwk terima kipk feedsnya kece nan boros iya,,,,Negative
lagi jaman anak penerima kipk tapi hidup hedon ya? maksud gw KOK BISA LOH?! padahal banyak yg lebih butuh,lagi jaman anak penerima kipk tapi hidup hedon ya maksud gw kok bisa loh padahal banyak yg lebih butuh,jaman anak terima kipk hidup boros ya maksud butuh,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
@pwettyscoups Ini kak lagi rame mhs penerima kipk tapi gaya hidupnya hedon pdhl kipk kan untuk mhs dari keluarga tidak mampu awal satu ketauan skrng makin banyak yg ke up, pwettyscoups ini kak lagi rame mhs penerima kipk tapi gaya hidupnya hedon pdhl kipk kan untuk mhs dari keluarga tidak mampu awal satu ketauan skrng makin banyak yg ke up,pwettyscoups kak ramai mahasiswa terima kipk gaya hidup boros kipk mahasiswa keluarga tahu up,,,,Positive
undip ni lagi bersih bersih penerima kipk kah?? ada muluu dari tadi lewat tapi gpp bagus lanjutkan jadi inget temen w dulu juga ada tapi sayangnya sekarang anaknya dah lulus penerima kipk tapi gayanya stylish baju bermerk gadgetnya iphone terbaru,undip ni lagi bersih bersih penerima kipk kah ada muluu dari tadi lewat tapi gpp bagus lanjutkan jadi inget temen w dulu juga ada tapi sayangnya sekarang anaknya dah lulus penerima kipk tapi gayanya stylish baju bermerk gadgetnya iphone terbaru,undip nih bersih bersih terima kipk kah ada muluu bagus lanjut teman ada sayang anak lulus terima kipk gaya stylish baju bermerk gadgetnya iphone baru,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Bawa bekal biar agak hemat. Duit jajan 20k/hari u/ bensin + makan. Tp sebisanya ditabung krn kampus nih banyak kebutuhan tak terduga. Sampe ada keluar kalimat jilbabmu itu lagi itu lagi ya Ini kenapa aku malah keliatan lebih miskin drpd penerima kipk nya?,bawa bekal biar agak hemat duit jajan 20k hari u bensin makan tp sebisanya ditabung krn kampus nih banyak kebutuhan tak terduga sampe ada keluar kalimat jilbabmu itu lagi itu lagi ya ini kenapa aku malah keliatan lebih miskin drpd penerima kipk nya ,bawa bekal biar hemat duit jajan 20k bensin makan tabung kampus nih butuh duga ada kalimat jilbab ya miskin terima kipk nya,Universitas Indonesia,106.827185590632,-6.36031565,Positive
@kegblgnunfaedh harusnya ini penerima kipk :(, kegblgnunfaedh harusnya ini penerima kipk ,kegblgnunfaedh terima kipk,,,,Negative
@thecapablekings Penerima kipk yg bener mah gak kepikiran buat nonton konser sih kak. Mereka aja nyari kos yg murah bahkan temenku tinggal di rusun kampus nggak punya motor juga. Pokokny nggak kepikiran buat hedon. Dapat uang jajan dari Bidikmisi udah alhamdulilah, thecapablekings penerima kipk yg bener mah gak kepikiran buat nonton konser sih kak mereka aja nyari kos yg murah bahkan temenku tinggal di rusun kampus nggak punya motor juga pokokny nggak kepikiran buat hedon dapat uang jajan dari bidikmisi udah alhamdulilah,thecapablekings terima kipk pikir tonton konser sih kak cari kos murah teman tinggal rusun kampus motor pokok pikir boros uang jajan bidikmisi alhamdulillah,Universitas Sumatera Utara,98.6568033374916,3.56132175,Positive
-dips! ges cara cek penerima kipk 2021 gmn yah? suspect di akt dr rumor beredar instagramnya dua duanya udah deactivate acc + ga masuk kampus 2 hari ini, dips ges cara cek penerima kipk 2021 gmn yah suspect di akt dr rumor beredar instagramnya dua duanya udah deactivate acc ga masuk kampus 2 hari ini,dips gas cek terima kipk 2021 ya suspect akt rumor edar instagramnya dua deactivate acc masuk kampus 2,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Ini lo yang ngeselin penerima kipk kok iso ngonser up sejuta tu apa ga eman duit I mean penerima kipk minimal tau prioritas duitnya kemana aja selama kuliah kok iso hedon tuku lightstick ngonser,ini lo yang ngeselin penerima kipk kok iso ngonser up sejuta tu apa ga eman duit i mean penerima kipk minimal tau prioritas duitnya kemana aja selama kuliah kok iso hedon tuku lightstick ngonser,kesal terima kipk ngonser up juta sayang duit i mean terima kipk minimal prioritas duit mana kuliah boros tuku lightstick ngonser,Universitas Indonesia,106.827185590632,-6.36031565,Negative
ANJJJJJEEENKK??? Ini penerima kipk tp idupnya spek selebgram tuh gmn caranya dah??????? Apa dia palsuin dokumen gitu kah biar bisa dapet???? Apa ada ordal???? Apa gmn anjingg?? Kok bisa bgt tu negara biayain pendidikan buat si para org hedon,anjjjjjeeenkk ini penerima kipk tp idupnya spek selebgram tuh gmn caranya dah apa dia palsuin dokumen gitu kah biar bisa dapet apa ada ordal apa gmn anjingg kok bisa bgt tu negara biayain pendidikan buat si para org hedon,anjjjjjeeenkk terima kipk hidup spesifikasi selebriti instagram palsuin dokumen kah biar ada ordal anjing negara biayain didik sih orang boros,Universitas Indonesia,106.827185590632,-6.36031565,Negative
Kok gak malu ya pamer hidup hedon tapi penerima kipk,kok gak malu ya pamer hidup hedon tapi penerima kipk,malu ya pamer hidup boros terima kipk,,,,Negative
pasti penerima kipk skrg banyak yg ketar ketir takut ke spill juga,pasti penerima kipk skrg banyak yg ketar ketir takut ke spill juga,terima kipk ketar tir takut spill,,,,Negative
@niwseir Tapi bang seandainya nasibnya udah membaik dan mampu bayar kan seharusnya dia bisa mengundurkan diri dr penerima kipk , niwseir tapi bang seandainya nasibnya udah membaik dan mampu bayar kan seharusnya dia bisa mengundurkan diri dr penerima kipk ,niwseir bang anda nasib baik bayar undur terima kipk,,,,Negative
@undipmenfess Kyknya ada yg salah dlm proses verifikasi data penerima kipk ini dlm sehari aja udh bbrp kali muncul yg beginian. Apakah emg targetnya itu para influencer?, undipmenfess kyknya ada yg salah dlm proses verifikasi data penerima kipk ini dlm sehari aja udh bbrp kali muncul yg beginian apakah emg targetnya itu para influencer ,undipmenfess ada salah proses verifikasi data terima kipk hari kali muncul target influencer,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
lagi seliweran penerima kipk tapi gayanya hedon urang yang beneran kurang mampu dan pengen banget kuliah malah ga dapettt jir lah ,lagi seliweran penerima kipk tapi gayanya hedon urang yang beneran kurang mampu dan pengen banget kuliah malah ga dapettt jir lah ,seliwer terima kipk gaya boros urang benar kuliah dapettt jir,,,,Negative
@undipmenfess list penerima KIPK ini bisa diakses umum gaksi? gua dengan senang hati stalk satu satudah, undipmenfess list penerima kipk ini bisa diakses umum gaksi gua dengan senang hati stalk satu satudah,undipmenfess list terima kipk akses sih senang hati stalk satudah,Universitas Diponegoro,110.440107056068,-7.0483698,Neutral
mbaaaaa aku bukan penerima kipk sebulan paling 2 juta kurang itu udah makan bensin kuota kos iuran jajan sandang pangan papan ternyata yang miskin bukan hartanya tapi mentalnya ,mbaaaaa aku bukan penerima kipk sebulan paling 2 juta kurang itu udah makan bensin kuota kos iuran jajan sandang pangan papan ternyata yang miskin bukan ha anya tapi mentalnya ,mbaaaaa terima kipk bulan 2 juta makan bensin kuota kos iur jajan sandang pangan papan miskin anya mental,,,,Negative
ini tl lagi rame bgt penerima kipk tapi aslinya orang kaya. dzolim bgt sumpah kesel bgt tiap ada spillan di tl lewat,ini tl lagi rame bgt penerima kipk tapi aslinya orang kaya dzolim bgt sumpah kesel bgt tiap ada spillan di tl lewat,lini ramai terima kipk asli orang zalim sumpah kesal ada spillan lini,,,,Negative
@undipmenfess dikampus sodaraku juga gt penerima kipk pada kaya sedangkan yg bener bener mampu disuru keluar sama kampus kalo gabisa bayar uang kuliah. sedih bgt kasian, undipmenfess dikampus sodaraku juga gt penerima kipk pada kaya sedangkan yg bener bener mampu disuru keluar sama kampus kalo gabisa bayar uang kuliah sedih bgt kasian,undipmenfess kampus saudara terima kipk disuru kampus bayar uang kuliah sedih kasihan,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
@collegemenfess ga ada pemantauan nilai/ipk aja ga begitu tegas di kampusku penerima kipk yg ips smt 1 di bawah 3 aja baru dikasih peringatan th 2023 ini (org-orngnya udh semester 4), collegemenfess ga ada pemantauan nilai ipk aja ga begitu tegas di kampusku penerima kipk yg ips smt 1 di bawah 3 aja baru dikasih peringatan th 2023 ini org orngnya udh semester 4 ,collegemenfess ada pantau nilai indeks prestasi kumulatif kampus terima kipk ilmu tahu sosial smt 1 3 kasih ingat 2023 orang orngnya semester 4,,,,Positive
UNY... Mau data penerima kipk dari tahun berapa aja ada pacar sender anak fomuny. Nanti sender tanyain deh wkwk. Serius ini ya,uny mau data penerima kipk dari tahun berapa aja ada pacar sender anak fomuny nanti sender tanyain deh wkwk serius ini ya,uny data terima kipk ada pacar sender anak fomuny sender deh wkwk serius ya,Universitas Negeri Yogyakarta,110.383763340711,-7.77301315,Negative
@taviaannn Iya nih emang udh keluar konteks karena aku pikir cuma mau pengandaian masalah KIPK yang mungkin bisa diambil sama calon penerima kurang mampu dan berprestasi. Maaf ya salah memang aku kurang pandai kayak kalian2 khusus ya @taviaannn, taviaannn iya nih emang udh keluar konteks karena aku pikir cuma mau pengandaian masalah kipk yang mungkin bisa diambil sama calon penerima kurang mampu dan berprestasi maaf ya salah memang aku kurang pandai kayak kalian2 khusus ya taviaannn,taviaannn iya nih konteks pikir andai kipk ambil calon terima prestasi maaf ya salah pandai khusus ya taviaannn,Universitas Sumatera Utara,98.6568033374916,3.56132175,Negative
weh seru banget liat orang spill penerima kipk,weh seru banget liat orang spill penerima kipk,weh seru lihat orang spill terima kipk,,,,Positive
masih menerima info perSpillan penerima KIPK yang gayanya selangit ,masih menerima info perspillan penerima kipk yang gayanya selangit ,terima info perspillan terima kipk gaya langit,,,,Negative
Lagi rame kipk kipk ini tp kadang aku mikir dia rumahnya emang tergolong miskin begitu sampe semarang gayanya hedon soalnya dulu aku punya tmn kalo di kampus gaya selangit ternyata keluarganya masuk penerima bantuan pemerintah,lagi rame kipk kipk ini tp kadang aku mikir dia rumahnya emang tergolong miskin begitu sampe semarang gayanya hedon soalnya dulu aku punya tmn kalo di kampus gaya selangit ternyata keluarganya masuk penerima bantuan pemerintah,ramai kipk kipk kadang pikir rumah golong miskin semarang gaya boros teman kampus gaya langit keluarga masuk terima bantu perintah,,,,Negative
@convomf lifestylenya terlalu fancy utk ukuran penerima kipk, convomf lifestylenya terlalu fancy utk ukuran penerima kipk,convomf lifestylenya fancy ukur terima kipk,,,,Positive
@Icewallss iyakann ad yg benaran kurang mampu eh tpi mlah d gunakan buat begayaan aski bnyak d sni gtu cma kya yudh aja:) pokoknya penerima kipk lebih hedon dri lda yg byar sendiri mlah yg byar ukt mandiri terlihat seperti gembell, icewallss iyakann ad yg benaran kurang mampu eh tpi mlah d gunakan buat begayaan aski bnyak d sni gtu cma kya yudh aja pokoknya penerima kipk lebih hedon dri lda yg byar sendiri mlah yg byar ukt mandiri terlihat sepe i gembell,icewallss iyakann ada benar eh begayaan aski yudh pokok terima kipk boros lda byar byar ukt mandiri sepe i gembell,,,,Negative
anying ni penerima kipk undip bnr drama bat ga selese gw udh liat 3 org yg kena jir,anying ni penerima kipk undip bnr drama bat ga selese gw udh liat 3 org yg kena jir,anjing nih terima kipk undip drama selese lihat 3 orang kena jir,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
@undipmenfess Penerima kipk juga berhak ngerasain hal hal kaya gitu. Gak harus selalu ngerasa kekurangan. Tapi kalo yg ini keliatan orang mampu anjir hedon banget, undipmenfess penerima kipk juga berhak ngerasain hal hal kaya gitu gak harus selalu ngerasa kekurangan tapi kalo yg ini keliatan orang mampu anjir hedon banget,undipmenfess terima kipk hak rasa kurang orang anjir boros,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@undipmenfess Murka bgt anjengg modelan ginj masa penerima kipk. Astaghfirullah, undipmenfess murka bgt anjengg modelan ginj masa penerima kipk astaghfirullah,undipmenfess murka anjengg model ginj terima kipk astagfirullah,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@undipmenfess kayanya emg selain cek rumah penerima kipk ini harus dicek sosmednya juga, undipmenfess kayanya emg selain cek rumah penerima kipk ini harus dicek sosmednya juga,undipmenfess cek rumah terima kipk cek media sosial,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@undipmenfess emg kita ada yg bahas akademik penerima kipk? kaga, undipmenfess emg kita ada yg bahas akademik penerima kipk kaga,undipmenfess ada bahas akademik terima kipk,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
